SIN,rate,price,cprice,maturityM,maturityY,date
CA135087H565,1.25%,99.95,0.625,1,0.083333333,2/1/2020
CA135087K601,1.50%,99.76,0.75,25,2.083333333,2/1/2022
CA135087K296,1.50%,99.75,0.75,19,1.583333333,8/1/2021
CA135087J629,2.25%,100.57,1.125,13,1.083333333,2/1/2021
CA135087K452,1.25%,99.32,0.625,22,1.833333333,11/1/2021
CA135087H490,1.75%,100.44,0.875,38,3.166666667,3/1/2023
CA135087J546,2.25%,102.68,1.125,50,4.166666667,3/1/2024
CA135087J967,1.50%,99.25,0.75,56,4.666666667,9/1/2024
CA135087K528,1.25%,98.48,0.625,62,5.166666667,3/1/2025
CA135087A610,1.50%,99.62,0.75,41,3.416666667,6/1/2023