,1Y,1.5Y,2Y,2.5Y,3Y,3.5Y,4Y,4.5Y,5Y
02-Jan,0.021442,0.012265,0.012538,0.012767,0.012532,0.018312,0.014724,0.016478,0.016734
03-Jan,0.021442,0.012223,0.012543,0.012758,0.012515,0.018314,0.014745,0.016476,0.016736
06-Jan,0.021587,0.012342,0.008079,0.014837,0.012876,0.018416,0.015817,0.016387,0.017491
07-Jan,0.022314,0.012452,0.008347,0.013943,0.013432,0.018576,0.014872,0.016528,0.017284
08-Jan,0.022314,0.012452,0.008583,0.014351,0.013482,0.018251,0.015891,0.016284,0.017241
09-Jan,0.022314,0.012265,0.008347,0.014875,0.012975,0.018244,0.014921,0.017639,0.017149
10-Jan,0.022314,0.012264,0.008347,0.013872,0.013871,0.017857,0.014726,0.017632,0.017651
13-Jan,0.022403,0.012348,0.008574,0.012581,0.012873,0.018237,0.015871,0.017462,0.017598
14-Jan,0.022509,0.012598,0.008313,0.013741,0.012723,0.018741,0.014619,0.017298,0.017482
15-Jan,0.022761,0.012346,0.008714,0.014572,0.013014,0.018374,0.015871,0.016234,0.017569