,i1,i2,i3,i4,i5,,,,,,
J1,1.684966,1.685873,1.695678,1.725895,1.750122,,5.93E-03,0.005655225,0.006061168,0.010279594,0.005104077
J2,1.684965,1.695434,1.705987,1.743728,1.741212,,0.002892017,0.005196938,0.004007231,0.005803986,0.012072397
J3,1.689845,1.704268,1.712837,1.753878,1.76236,,0.00542952,0.014287206,0.011693718,0.021717241,0.023037696
J4,1.699045,1.728792,1.732984,1.792384,1.803432,,0.002745305,0.002849975,0.008641229,0.009927579,0.021156764
J5,1.694387,1.723872,1.748024,1.774678,1.765678,,0.000568509,0.011895597,0.007600215,0.03137925,0.0377105
J6,1.693424,1.703487,1.734789,1.831249,1.833534,,0.005924812,0.006664614,0.012418613,0.004026665,0.000163632
J7,1.703487,1.714878,1.756467,1.82389,1.833234,,0.011186578,0.015001061,0.018199681,0.041979418,0.03362125
J8,1.684537,1.689345,1.724789,1.748909,1.772623,,0.011397887,0.016846719,0.00583237,0.005716433,0.032613779
J9,1.703847,1.718046,1.734878,1.73894,1.831388,,0.005000836,0.009761024,0.010901365,0.014752004,0.004206197
J10,1.712389,1.734898,1.753894,1.764783,1.823701,,5.11E-02,8.82E-02,8.54E-02,1.46E-01,1.70E-01